id,Midparent,Child,Quartile
1,64,61.7,1
2,64,63.2,1
3,64,63.2,1
4,64,64.2,1
5,64,64.2,1
6,64,64.2,1
7,64,64.2,1
8,64,65.2,1
9,64,66.2,1
10,64,66.2,1
11,64,67.2,1
12,64,67.2,1
13,64,68.2,1
14,64,69.2,1
15,64.5,61.7,1
16,64.5,62.2,1
17,64.5,63.2,1
18,64.5,63.2,1
19,64.5,63.2,1
20,64.5,63.2,1
21,64.5,64.2,1
22,64.5,64.2,1
23,64.5,64.2,1
24,64.5,64.2,1
25,64.5,65.2,1
26,64.5,66.2,1
27,64.5,66.2,1
28,64.5,66.2,1
29,64.5,66.2,1
30,64.5,66.2,1
31,64.5,67.2,1
32,64.5,67.2,1
33,64.5,67.2,1
34,64.5,67.2,1
35,64.5,67.2,1
36,64.5,69.2,1
37,64.5,69.2,1
38,65.5,61.7,1
39,65.5,63.2,1
40,65.5,63.2,1
41,65.5,63.2,1
42,65.5,63.2,1
43,65.5,63.2,1
44,65.5,63.2,1
45,65.5,63.2,1
46,65.5,63.2,1
47,65.5,63.2,1
48,65.5,64.2,1
49,65.5,64.2,1
50,65.5,64.2,1
51,65.5,64.2,1
52,65.5,64.2,1
53,65.5,65.2,1
54,65.5,65.2,1
55,65.5,65.2,1
56,65.5,65.2,1
57,65.5,65.2,1
58,65.5,65.2,1
59,65.5,65.2,1
60,65.5,66.2,1
61,65.5,66.2,1
62,65.5,66.2,1
63,65.5,66.2,1
64,65.5,66.2,1
65,65.5,66.2,1
66,65.5,66.2,1
67,65.5,66.2,1
68,65.5,66.2,1
69,65.5,66.2,1
70,65.5,66.2,1
71,65.5,67.2,1
72,65.5,67.2,1
73,65.5,67.2,1
74,65.5,67.2,1
75,65.5,67.2,1
76,65.5,67.2,1
77,65.5,67.2,1
78,65.5,67.2,1
79,65.5,67.2,1
80,65.5,67.2,1
81,65.5,67.2,1
82,65.5,68.2,1
83,65.5,68.2,1
84,65.5,68.2,1
85,65.5,68.2,1
86,65.5,68.2,1
87,65.5,68.2,1
88,65.5,68.2,1
89,65.5,69.2,1
90,65.5,69.2,1
91,65.5,69.2,1
92,65.5,69.2,1
93,65.5,69.2,1
94,65.5,69.2,1
95,65.5,69.2,1
96,65.5,70.2,1
97,65.5,70.2,1
98,65.5,70.2,1
99,65.5,70.2,1
100,65.5,70.2,1
101,65.5,71.2,1
102,65.5,71.2,1
103,65.5,72.2,1
104,66.5,62.2,1
105,66.5,62.2,1
106,66.5,62.2,1
107,66.5,63.2,1
108,66.5,63.2,1
109,66.5,63.2,1
110,66.5,64.2,1
111,66.5,64.2,1
112,66.5,64.2,1
113,66.5,64.2,1
114,66.5,64.2,1
115,66.5,65.2,1
116,66.5,65.2,1
117,66.5,66.2,1
118,66.5,66.2,1
119,66.5,66.2,1
120,66.5,66.2,1
121,66.5,66.2,1
122,66.5,66.2,1
123,66.5,66.2,1
124,66.5,66.2,1
125,66.5,66.2,1
126,66.5,66.2,1
127,66.5,66.2,1
128,66.5,66.2,1
129,66.5,66.2,1
130,66.5,66.2,1
131,66.5,66.2,1
132,66.5,66.2,1
133,66.5,66.2,1
134,66.5,67.2,1
135,66.5,67.2,1
136,66.5,67.2,1
137,66.5,67.2,1
138,66.5,67.2,1
139,66.5,67.2,1
140,66.5,67.2,1
141,66.5,67.2,1
142,66.5,67.2,1
143,66.5,67.2,1
144,66.5,67.2,1
145,66.5,67.2,1
146,66.5,67.2,1
147,66.5,67.2,1
148,66.5,67.2,1
149,66.5,67.2,1
150,66.5,67.2,1
151,66.5,68.2,1
152,66.5,68.2,1
153,66.5,68.2,1
154,66.5,68.2,1
155,66.5,68.2,1
156,66.5,68.2,1
157,66.5,68.2,1
158,66.5,68.2,1
159,66.5,68.2,1
160,66.5,68.2,1
161,66.5,68.2,1
162,66.5,68.2,1
163,66.5,68.2,1
164,66.5,68.2,1
165,66.5,69.2,1
166,66.5,69.2,1
167,66.5,69.2,1
168,66.5,69.2,1
169,66.5,69.2,1
170,66.5,69.2,1
171,66.5,69.2,1
172,66.5,69.2,1
173,66.5,69.2,1
174,66.5,69.2,1
175,66.5,69.2,1
176,66.5,69.2,1
177,66.5,69.2,1
178,66.5,70.2,1
179,66.5,70.2,1
180,66.5,70.2,1
181,66.5,70.2,1
182,67.5,62.2,1
183,67.5,62.2,1
184,67.5,62.2,1
185,67.5,63.2,1
186,67.5,63.2,1
187,67.5,63.2,1
188,67.5,63.2,1
189,67.5,63.2,1
190,67.5,64.2,1
191,67.5,64.2,1
192,67.5,64.2,1
193,67.5,64.2,1
194,67.5,64.2,1
195,67.5,64.2,1
196,67.5,64.2,1
197,67.5,64.2,1
198,67.5,64.2,1
199,67.5,64.2,1
200,67.5,64.2,1
201,67.5,64.2,1
202,67.5,64.2,1
203,67.5,64.2,1
204,67.5,65.2,1
205,67.5,65.2,1
206,67.5,65.2,1
207,67.5,65.2,1
208,67.5,65.2,1
209,67.5,65.2,1
210,67.5,65.2,1
211,67.5,65.2,1
